PLAYER,TEAM,TYPE,Exp
T.J. McConnell,PHI,UFA,4
Taj Gibson,MIN,UFA,10
Terrence Ross,ORL,UFA,7
Terry Rozier,BOS,RFA,4
Thabo Sefolosha,UTH,UFA,13
Thaddeus Young,IND,UFA,12
Theo Pinson,BKN,RFA,1
Thomas Bryant,WAS,RFA,2
Tim Frazier,NOP,UFA,5
Tobias Harris,LAC,UFA,8
Tomas Satoransky,WAS,RFA,3
Trevon Bluiett,NOP,RFA,1
Trevon Duval,MIL,RFA,1
Trevor Ariza,PHX,UFA,15
Trey Burke,NYK,UFA,6
Trey Lyles,DEN,RFA,4
Troy Caupain,ORL,RFA,1
Troy Daniels,PHX,UFA,6
Tyler Cavanaugh,UTH,RFA,1
Tyler Davis,OKC,RFA,1
Tyler Dorsey,ATL,RFA,2
Tyler Lydon,DEN,UFA,2
Tyler Ulis,CHI,RFA,3
Tyreke Evans,IND,UFA,10
Tyson Chandler,LAL,UFA,18
Tyus Jones,MIN,RFA,4
Udonis Haslem,MIA,UFA,16
Vince Carter,ATL,UFA,21
Vincent Edwards,HOU,RFA,1
Wade Baldwin,POR,UFA,3
Walter Lemon Jr.,BOS,RFA,2
Wayne Ellington,MIA,UFA,10
Wayne Selden,MEM,UFA,3
Wenyen Gabriel,SAC,RFA,1
Wesley Johnson,NOP,UFA,9
Wesley Matthews,DAL,UFA,10
Willie Cauley-Stein,SAC,RFA,4
Wilson Chandler,PHI,UFA,12
Yante Maten,MIA,RFA,1
Yuta Watanabe,MEM,RFA,1
Zach Lofton,DET,RFA,1
Zach Randolph,SAC,UFA,18
Zaza Pachulia,DET,UFA,16
